Station,X,Y,Color
Maujpur - Babarpur,77.2795081,28.6918515,Pink
Gokulpuri,77.2861349,28.7025548,Pink
Johri Enclave,77.2902018,28.7126113,Pink
Shiv Vihar,77.28939,28.7217144,Pink
Rohini Sector 18,77.1397321,28.738257,Yellow
Haiderpur Badli Mor,77.1493332,28.7300185,Yellow
Jahangirpuri,77.1626672,28.7259731,Yellow
Adarsh Nagar,77.1704661,28.7165375,Yellow
Model Town,77.1936996,28.7028784,Yellow
GTB Nagar,77.2056944,28.6984244,Yellow
Vishwavidyalaya,77.2145234,28.6950955,Yellow
Vidhan Sabha,77.2215658,28.6873409,Yellow
Civil Lines,77.2246342,28.6778822,Yellow
Chandni Chowk,77.2302626,28.6588285,Yellow
Chawri Bazar,77.2260956,28.6485023,Yellow
New Delhi,77.2227452,28.6436668,Yellow
Patel Chowk,77.2007343,28.6276668,Yellow
Central Secretariat,77.2157343,28.6251018,Yellow
Udyog Bhawan,77.2118047,28.6105339,Yellow
Lok Kalyan Marg,77.2113204,28.5973969,Yellow
Jor Bagh,77.2125255,28.5859283,Yellow
AIIMS,77.2138667,28.5647004,Yellow
Green Park,77.2069633,28.5587687,Yellow
Hauz Khas,77.2054768,28.5434361,Yellow
Malviya Nagar,77.2050276,28.5289412,Yellow
Saket,77.2023682,28.5211489,Yellow
Qutab Minar,77.1863194,28.5129806,Yellow
Chhatarpur,77.1750296,28.5067749,Yellow
Sultanpur,77.1613172,28.4991923,Yellow
Ghitorni,77.1491126,28.4938325,Yellow
Arjan Garh,77.1257265,28.4807081,Yellow
Guru Dronacharya,77.1021212,28.4820406,Yellow
Sikanderpur,77.0929252,28.4813015,Yellow
MG Road,77.079856,28.4795824,Yellow
IFFCO Chowk,77.0724165,28.4720964,Yellow
HUDA City Centre,77.0724506,28.4591714,Yellow
Okhla Bird Sanctuary,77.3215713,28.5528754,Magenta
Kalindi Kunj,77.3101458,28.5428418,Magenta
Jasola Vihar Shaheen Bagh,77.2967622,28.5459887,Magenta
Okhla Vihar,77.291898,28.5611013,Magenta
Jamia Millia Islamia,77.2823897,28.5629037,Magenta
Sukhdev Vihar,77.2750435,28.5597608,Magenta
Okhla NSIC,77.2649034,28.5546227,Magenta
Kalkaji Mandir,77.2590659,28.5495279,Magenta
Nehru Enclave,77.2511234,28.5444848,Magenta
Greater Kailash,77.2385994,28.5418434,Magenta
Chirag Delhi,77.2310573,28.5411702,Magenta
Panchsheel Park,77.2211227,28.5423863,Magenta
IIT Delhi,77.194531,28.5468781,Magenta
R.K. Puram,77.1854379,28.5503458,Magenta
Munirka,77.1744523,28.5573556,Magenta
Vasant Vihar,77.1615003,28.5579809,Magenta
Shankar Vihar,77.140445,28.5607797,Magenta
Terminal 1-IGI Airport,77.1219473,28.5650001,Magenta
Sadar Bazaar Cantonment,77.1113176,28.5769772,Magenta
Palam,77.0831077,28.5889948,Magenta
Dashrath Puri,77.0825599,28.6020746,Magenta
Dabri Mor,77.085177,28.61581,Magenta
Krishna Park Extension,77.075177,28.6478906,Magenta
Ashok Park Main,77.1552307,28.6715936,Green
Punjabi Bagh,77.1460878,28.6729298,Green
Shivaji Park,77.1305966,28.6749477,Green
Madipur,77.1196548,28.6763601,Green
Paschim Vihar East,77.1124501,28.6772892,Green
Paschim Vihar West,77.1021732,28.6786204,Green
Peera Garhi,77.0927202,28.6797471,Green
Udyog Nagar,77.0808267,28.6810796,Green
Maharaja Surajmal Stadium,77.0740278,28.6818286,Green
Nangloi,77.0648461,28.6824184,Green
Nangloi Railway Station,77.0562994,28.6821624,Green
Rajdhani Park,77.0439236,28.6822432,Green
Mundka,77.0305118,28.6823758,Green
Mundka Industrial Area,77.0171324,28.683368,Green
Ghevra,76.9960402,28.6852146,Green
Tikri Kalan,76.9772035,28.6868526,Green
Tikri Border,76.9640148,28.6880058,Green
Pandit Shree Ram Sharma,76.9512726,28.6892495,Green
Brigadier Hoshiar Singh,76.919159,28.6974758,Green
Satguru Ram Singh Marg,77.1576507,28.6620856,Green
Lal Qila,77.2368244,28.6577072,Violet
Jama Masjid,77.2378079,28.6502736,Violet
Delhi Gate,77.2405169,28.6393166,Violet
ITO,77.2411569,28.62869,Violet
Janpath,77.2284306,28.6156958,Violet
Khan Market,77.2284306,28.6025773,Violet
Jawaharlal Nehru Stadium,77.2334283,28.5893724,Violet
Jangpura,77.2389634,28.5835713,Violet
Moolchand,77.2341847,28.5640016,Violet
Kailash Colony,77.2419497,28.5553102,Violet
Nehru Place,77.2517379,28.5513998,Violet
Govindpuri,77.2642722,28.5444848,Violet
Harkesh Nagar Okhla,77.2750775,28.5429388,Violet
Jasola Apollo,77.2832863,28.5382634,Violet
Sarita Vihar,77.2883082,28.5287395,Violet
Mohan Estate,77.2945781,28.5196863,Violet
Tughlakabad,77.2992253,28.5024414,Violet
Badarpur Border,77.3029513,28.4931827,Violet
Sarai,77.3050502,28.4779718,Violet
NHPC Chowk,77.3072282,28.4576944,Violet
Mewala Maharajpur,77.3079792,28.4484786,Violet
Sector 28,77.308864,28.4382073,Violet
Badkhal Mor,77.3102073,28.4227744,Violet
Old Faridabad,77.3112288,28.4105451,Violet
Neelam Chowk Ajronda,77.3122098,28.3976948,Violet
Bata Chowk,77.3132395,28.3859283,Violet
Escorts Mujesar,77.3147329,28.3700451,Violet
Sant Surdas (Sihi),77.3161392,28.3546745,Violet
Raja Nahar Singh,77.3164218,28.3399001,Violet
